img,ndwi,ndvi,color1,color2,color3,var1,var2,var3,mean,std,skweness,kurtosis,gradient,energy,correlation,homo,area,perimeter,compactness,eccentricity
22312769,-1660.112557,12015.02848,94.0877533,120.1949768,126.1831055,3131.749608,3574.377298,3802.695324,5.96E-08,1.46E-06,35.28104322,1665.9211,-0.140174866,0.006874771,0.673005129,0.034173135,65532,369.782792,8.10056619,93.95952647
20099667,9771.949409,27702.5207,71.59107971,127.9701538,107.1353455,3508.987005,3866.241114,3984.787254,5.96E-08,1.50E-06,132.932204,49834.86531,-0.03868866,0.006147486,0.323537119,0.020291613,65533,131.9177849,2.180830616,94.43557831
23144648,3973.51743,10952.08549,105.6523438,128.3156586,119.1912994,4098.296677,3764.579086,3825.276957,5.96E-08,1.69E-06,90.5917706,16421.53198,0.055679321,0.006301228,0.504521967,0.025424199,65527,284.2853173,5.545583686,113.0481298
19927441,10220.51415,17626.07017,82.12330627,121.0205078,100.9248047,3144.783212,3675.020087,3677.070121,5.96E-08,1.48E-06,211.3953326,108200.3467,-0.097122192,0.006564885,0.442876921,0.027341692,65512,242.1787156,10.00310873,98.97455226
24112114,1047.13406,4666.691871,118.01297,125.8716431,124.0370483,4404.927505,4230.994877,4200.654877,5.96E-08,1.84E-06,56.9745796,5713.234628,0.027374268,0.006126225,0.471858642,0.025244371,65471,294.25588,11.19983891,96.64597595
23045668,-3778.004396,3701.037137,108.4934235,116.6938019,126.4617615,3453.304003,3648.672737,3801.499362,5.96E-08,2.63E-06,134.0499249,36942.45563,-0.252281189,0.012250459,0.967245611,0.149601557,65484,4907.969009,552.5393246,123.4142153
24074822,-1278.465136,3848.741958,115.1905518,124.4432526,127.7188263,3971.983282,4210.192642,4303.406888,5.96E-08,2.20E-06,60.2946731,4927.814109,-0.049293518,0.006783472,0.723316243,0.037622784,65441,455.7949853,10.81467601,93.84223174
25347828,1054.868478,-1299.614941,132.0651703,128.6274261,126.0845642,4626.123209,4449.300718,4341.878225,5.96E-08,3.12E-06,94.51265455,12139.20581,-0.24797821,0.009685541,0.913653961,0.108157762,65378,2426.69466,178.0751002,98.01468309
21472916,6255.406934,21692.53155,83.98162842,128.4648438,115.2042236,3965.53842,4006.265335,4188.144023,5.96E-08,1.44E-06,60.61266336,11434.88749,0.043510437,0.006066176,0.363979257,0.020932237,65525,136.4030663,1.849561439,97.22787231
22863648,-227.6378517,7801.53125,102.5994873,122.0850372,124.1870575,3368.877462,3845.022905,4111.784056,5.96E-08,1.72E-06,51.92128273,4281.24913,-0.172851563,0.010166977,0.930495692,0.109344551,65502,2903.549565,184.8767334,104.4800814
23822610,2484.220736,-486.1418804,120.4047699,122.4613037,120.6381073,3610.084254,4159.665678,4581.225403,5.96E-08,1.66E-06,48.01446228,4289.334593,0.174530029,0.006724755,0.706069411,0.035327318,65486,348.6406563,7.943774926,91.95880594
24029898,-336.4038634,172.7304801,120.5542145,122.2232819,123.8896484,3910.245901,4106.669033,4247.432555,5.96E-08,2.09E-06,65.55636066,6614.247579,0.08530426,0.007081648,0.739985506,0.042388626,65410,467.4163056,11.39841531,97.3279345
